time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Age,Cohort_DJFavg,NEET_not_known_percent,NEET_percent,Notknown_percent,annual_change_ppts_NEET_not_known,annualchange_NEET,annualchange_notknown,cohort_March,TOTAL_participating_in_education_and_training_percent,Full_time_education_percent,Apprenticeship_percent,Other_education_and_training_percent,annual_change_Participation_in_education_training,annual_change_FTE,annual_change_apprenticeship,annual_change_other_education_training,September_guarantee_Offer_made_percent,September_guarantee_annual_change_ppts,cohort_noSEN_percent,NEET_NK_noSEN_percent,cohort_EHCP_percent,NEET_NK_EHCP_percent,cohort_SENDsupport_percent,NEET_NK_SENDsupport_percent,VG_cohort_DJF_avg,VG_cohort_percentage,VG_NEET_NK_percentage,Level_3,L2_em_GCSE_othL2,avg_att8,pt_l2basics_94,sess_overall_percent,sess_overall_percent_pa_10_exact,Age1617_ONS_population,NEET_NK_quintile,NEET_quintile,Notknown_quintile,Participation_ET_quintile,Sep_guarantee_quintile,NEET_NK_NoSEN_quintile,NEET_NK_EHCP_quintile,NEET_NK_SENDsupport_quintile,VG_NEET_NK_percentage_quintile
2021,Calendar year,National,E92000001,England,,,,,,16-17,1181088,5.5,2.8,2.7,0,0.1,-0.1,1182881,93.2,87.4,3.8,2,0.6,2,-1.2,-0.2,94.3,-0.7,1,1,1,1,1,1,1,1,1,57.4,27.5,50.2,71.2,1,1,1252508,z,z,z,z,z,,,,
2021,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,16-17,101477,6.2,2.7,3.5,-0.3,0,-0.3,101454,94.1,87.6,4,2.4,1.5,3.2,-1.6,-0.1,95.1,0.4,,,,,,,,,,53.9,27.8,49.1,69.9,,,106290,z,z,z,z,z,,,,
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,16-17,5869,7.4,5.3,2.1,1.9,0.7,1.2,5859,90.6,80.6,5.1,5,0.3,3.7,-2.4,-1,92.1,-1.9,,,,,,,,,,46.3,29.5,46.3,63.2,,,6238,5,5,3,1,1,,,,
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,16-17,16065,3.3,1.9,1.4,-4,-0.9,-3.1,16039,95.5,87.6,5.1,2.8,0.9,3.3,-2,-0.4,93.7,2.6,,,,,,,,,,53.9,28.3,49.9,72.2,,,16965,1,2,2,4,2,,,,
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,16-17,9159,7.4,4.7,2.7,1.4,0.2,1.2,9154,91.5,86.3,1.7,3.6,-1.2,0.7,-1,-0.9,95.9,-1,,,,,,,,,,52.9,35.2,46.2,61.9,,,8268,5,5,4,1,3,,,,
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,16-17,13983,4.7,2.4,2.3,-3.6,0.4,-4,13993,94.6,90.2,3.4,1.1,2.6,4.9,-3,0.6,96.2,1.7,,,,,,,,,,58.6,33.6,50.1,73.1,,,15937,3,3,4,4,3,,,,
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,16-17,15817,4.6,2.2,2.3,-0.3,-0.3,0.1,15788,94.9,87.2,3.8,3.8,1.8,2.9,-1.3,0.2,91.9,-2.2,,,,,,,,,,56,29.4,50.3,71.7,,,15617,3,2,4,4,1,,,,
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,16-17,6740,6.3,5.5,0.8,0.5,0.8,-0.4,6742,92.2,86.6,2.4,3.3,-0.6,-0.8,-0.5,0.7,96.2,1.4,,,,,,,,,,42.5,21.8,45.3,61.7,,,6824,4,5,1,2,3,,,,
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,16-17,16852,13.8,1.7,12.1,3.8,-0.2,4,16882,94,87.8,4.9,1.4,4.4,4.4,0,0.1,95.4,1.2,,,,,,,,,,53.5,22.1,50.5,72.8,,,17670,5,1,5,4,3,,,,
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,16-17,605,1.9,0.8,1.1,-1.4,-0.7,-0.6,605,97,93.1,3.8,0.2,1.4,4.3,-2.6,-0.4,96,-2.4,,,,,,,,,,66,30.8,55.3,83.5,,,1094,1,1,2,5,3,,,,
