time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Age,Cohort_DJFavg,NEET_not_known_percent,NEET_percent,Notknown_percent,annual_change_ppts_NEET_not_known,annualchange_NEET,annualchange_notknown,cohort_March,TOTAL_participating_in_education_and_training_percent,Full_time_education_percent,Apprenticeship_percent,Other_education_and_training_percent,annual_change_Participation_in_education_training,annual_change_FTE,annual_change_apprenticeship,annual_change_other_education_training,September_guarantee_Offer_made_percent,September_guarantee_annual_change_ppts,cohort_noSEN_percent,NEET_NK_noSEN_percent,cohort_EHCP_percent,NEET_NK_EHCP_percent,cohort_SENDsupport_percent,NEET_NK_SENDsupport_percent,VG_cohort_DJF_avg,VG_cohort_percentage,VG_NEET_NK_percentage,Level_3,L2_em_GCSE_othL2,avg_att8,pt_l2basics_94,sess_overall_percent,sess_overall_percent_pa_10_exact,Age1617_ONS_population,NEET_NK_quintile,NEET_quintile,Notknown_quintile,Participation_ET_quintile,Sep_guarantee_quintile
2022,Calendar year,National,E92000001,England,,,,,,16-17,1208392.7,4.7,2.6,2.2,-0.8,-0.3,-0.5,1210281,92.9,86.6,4.4,1.9,-0.3,-0.8,0.6,-0.1,95.5,1.1,87.7,4.2,4.4,8.6,7.9,8.4,28070,2.3,23.6,59.8,32.7,50.9,72.2,5.5,22.4,1319736,z,z,z,z,z
2022,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,16-17,102832.3,4.6,2.5,2,-1.7,-0.2,-1.5,103149,93.9,87,4.4,2.5,-0.1,-0.6,0.4,0.1,96.6,1.5,92.4,4.3,3.8,7.6,3.8,7.5,1500,1.5,23.7,56.3,31.4,49.6,70.7,5.2,22.3,111836,z,z,z,z,z
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,16-17,6129.7,5.6,4.5,1,-1.8,-0.8,-1,6134,90.4,79.7,6.2,4.5,-0.2,-0.9,1.2,-0.5,94.3,2.2,94.4,5.3,5.6,9.8,z,z,89.3,1.5,41,49.4,31.8,46.4,64.5,5.3,21.4,6444,4,5,2,1,1
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,16-17,15739.7,2.4,1.7,0.7,-0.9,-0.2,-0.7,15729,96.5,86,6.4,4.1,1,-1.6,1.3,1.4,98,4.3,95.4,2.3,4.5,4.8,0,c,271.3,1.7,17.1,56.5,30.9,49.9,71.6,5.3,23,17792,1,2,1,5,4
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,16-17,9374.3,9,4.4,4.6,1.6,-0.4,1.9,9379,90.8,85.4,2.5,2.9,-0.7,-0.9,0.8,-0.7,95.4,-0.5,95.9,8.7,3.8,15.6,0.3,0,150,1.6,29.3,56.1,38.1,47.2,64.3,5,22.1,8705,5,5,5,1,2
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,16-17,14281.7,3.2,1.3,2,-1.5,-1.2,-0.3,14269,96.3,92.3,3.1,0.8,1.6,2.1,-0.2,-0.3,96.2,0,91.4,3.1,2.7,5.7,5.9,3.6,21,0.1,34.9,60.3,33.8,50.3,73.6,5,23.3,16651,2,1,4,5,3
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,16-17,15962.3,5.4,2.9,2.5,0.8,0.7,0.1,15994,92.7,83.1,5.4,4.2,-2.2,-4.2,1.6,0.4,94.9,3,90,5,5.2,5.5,4.8,11.6,353.3,2.2,14.9,56,34.8,50.5,71.3,5.3,20.7,16418,4,4,4,3,2
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,16-17,6594.7,4.7,4.2,0.5,-1.6,-1.3,-0.3,6620,92,86,2.5,3.5,-0.2,-0.6,0.1,0.3,95.6,-0.6,87.5,4.2,2.9,12,9.6,7,149.3,2.3,20.1,47.5,24,45.8,62.8,6.3,23.2,7290,3,5,1,2,2
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,16-17,17055.7,6.5,2.5,4,-7.3,0.8,-8.2,17211,93.1,87.7,4.2,1.2,-0.9,-0.1,-0.7,-0.1,97,1.6,91.9,6.1,2.1,10.2,6,10.4,134.7,0.8,33.2,56,27.1,51.1,73.4,5.1,22.5,18742,5,3,5,3,4
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,16-17,651.7,1.4,0.2,1.2,-0.5,-0.6,0.1,649,97.8,94.6,2.9,0.3,0.8,1.5,-0.9,0.1,97.9,1.9,95.2,1.5,4.6,0,0.2,c,c,c,c,68.2,28,55.3,81.5,3.5,19.1,1086,1,1,3,5,4
