time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Age,Cohort_DJFavg,NEET_not_known_percent,NEET_percent,Notknown_percent,annual_change_ppts_NEET_not_known,annualchange_NEET,annualchange_notknown,cohort_March,TOTAL_participating_in_education_and_training_percent,Full_time_education_percent,Apprenticeship_percent,Other_education_and_training_percent,annual_change_Participation_in_education_training,annual_change_FTE,annual_change_apprenticeship,annual_change_other_education_training,September_guarantee_Offer_made_percent,September_guarantee_annual_change_ppts,cohort_noSEN_percent,NEET_NK_noSEN_percent,cohort_EHCP_percent,NEET_NK_EHCP_percent,cohort_SENDsupport_percent,NEET_NK_SENDsupport_percent,VG_cohort_DJF_avg,VG_cohort_percentage,VG_NEET_NK_percentage,Level_3,L2_em_GCSE_othL2,avg_att8,pt_l2basics_94,sess_overall_percent,enrolments_pa_10_exact_percent,NEET_NK_quintile,NEET_quintile,Notknown_quintile,Participation_ET_quintile,Sep_guarantee_quintile
2025,Calendar year,National,E92000001,England,,,,,,16-17,1335160,5.6,3.4,2.2,0.2,0.3,0,1337190,92,86,4.2,1.9,-0.1,0.3,-0.4,0.1,94.6,0,84.6,4.9,5.4,10.1,10.1,9.6,36820,2.8,28.2,57.6,19.7,46.1,65.4,8.9,25.6,z,z,z,z,z
2025,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,16-17,114310,5.6,2.8,2.8,0.7,0.3,0.4,114540,93.3,88.3,3.2,1.8,-0.5,0.4,-0.5,-0.4,91.2,-3.6,90.2,5.2,4,10.7,5.8,8.9,2230,2,28.7,54.5,19.6,44.8,63.7,9,25.3,z,z,z,z,z
2025,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,16-17,7034,7.9,7.6,0.3,3.8,3.8,0,7052,87.5,78.6,4.9,4,-4.5,-5.3,0.5,0.3,95,-0.9,82.5,5.8,7.2,18.1,10.3,17.9,187.3,2.7,48.9,50.1,20.5,42.1,58.2,8.8,26.5,5,5,1,5,4
2025,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,16-17,17531,7.4,3.2,4.2,5.1,1.3,3.8,17522,92.1,85.6,5.3,1.1,-2.1,-0.1,-0.6,-1.3,74,-23.3,92.1,7,4.6,11.4,3.3,13.3,473.3,2.7,28.9,52.5,18.1,44.6,64.5,9.2,24.9,5,3,5,3,5
2025,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,16-17,10192,6.9,5.8,1.1,-1.7,0.1,-1.8,10241,91.2,87,1.2,3,1.3,0.8,-0.3,0.9,94.8,0.3,91.2,6.4,4.5,15.8,4.3,7.5,214,2.1,40.8,58.9,28.8,45.2,63.2,8.4,24.1,5,5,3,4,4
2025,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,16-17,15600,6,1.2,4.8,1.3,0.5,0.8,15611,94.3,91.8,1.7,0.8,-0.6,0.2,-1.1,0.3,88.3,-8,84.5,5.6,4.2,8.9,11.3,7.8,17.7,0.1,54.7,58,20.9,45.9,66.8,8.8,23.6,4,1,5,2,5
2025,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,16-17,17688,7.1,2.1,5,-1.7,-0.3,-1.4,17777,92.4,85.1,5,2.4,0.7,1.8,1.2,-2.3,93.1,1,93.2,7.2,5.9,7.5,0.8,0.7,151.3,0.9,28.4,54.2,19.1,45.2,63,9.3,27.9,5,2,5,3,5
2025,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,16-17,7877,5.6,3.4,2.1,-0.5,-0.4,-0.2,7904,93,89.4,1.2,2.3,0.1,0.6,-0.3,-0.3,93.8,3.5,93.3,5,2,15.4,4.7,12.3,182.3,2.3,28.9,49,15.1,42.2,58.3,9.4,27.2,4,3,4,3,4
2025,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,16-17,18188,3.9,1.5,2.5,0.3,-0.4,0.7,18168,95.5,92.2,1.4,1.9,-0.4,1.2,-1.8,0.2,95.7,4,96.6,3.7,0.8,13.3,2.6,9.7,76.7,0.4,24.8,53.8,16.2,45.7,65.1,9,24.9,2,1,4,1,3
2025,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,16-17,698,1.3,0.7,0.6,0.4,0.3,0.1,704,97.3,93,3.8,0.4,-0.4,-0.8,0.2,0.1,98.2,0.4,93.8,1,5.7,5.8,0.4,c,c,c,c,65.8,25.5,49.3,73.3,7.7,20.9,1,1,2,1,1
2025,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,16-17,9029,2.5,2.1,0.4,-0.6,-0.4,-0.1,9042,95.6,90.9,3.7,1,0.7,1.7,-0.9,-0.1,98.5,0.3,85.1,2,4.6,6.9,10.2,5.1,298,3.3,27.2,51,18.2,43.4,60.5,9.3,26.4,1,1,1,1,1
2025,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,16-17,10474,2.7,2.2,0.5,-0.2,-0.2,0.1,10519,95.1,90.8,3.7,0.6,-0.1,0.8,-0.9,0.1,98.3,-0.3,84.9,2.1,3.8,6.7,11.3,6.2,628.7,6,18.9,57.5,20.3,45.1,65.2,8.4,23.7,1,2,2,2,1
2025,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,16-17,149870,5.1,3.8,1.3,0,0.1,-0.1,149860,91.3,85.9,3.8,1.6,0,0.4,-0.6,0.2,94.8,-0.3,83.4,4.3,5.4,10.3,11.1,8.6,5060,3.4,27.2,58.2,19.8,46,65.8,8.6,24.5,z,z,z,z,z
2025,Calendar year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,16-17,4356,6,1.7,4.3,2.9,0.2,2.6,4357,94.2,87.6,3.9,2.8,-0.6,-2.3,1.6,0.1,93.8,-2.8,87,5.6,4.3,10.1,8.7,8,60,1.4,17.2,55.3,20.8,44.9,64.5,8.3,24.6,4,1,5,2,4
2025,Calendar year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,16-17,14589,3.5,3.4,0.2,0,0,0,14591,92.2,85.7,4,2.5,-0.2,0.4,-0.9,0.3,95.6,0.7,83.6,2.8,6.1,8.1,10.3,7.1,489.7,3.4,23.6,59.2,22.2,48,67.9,8.7,23.4,1,3,1,3,3
2025,Calendar year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,16-17,7212,3.1,2.6,0.4,-0.7,-0.8,0.1,7215,95.3,91.4,3.2,0.7,2.7,3.1,-0.8,0.4,97.3,2,81.3,2,6.6,10.9,12.1,5.8,97.7,1.4,25.3,55.4,20.8,42.3,62.2,7.8,22.1,1,2,1,2,2
2025,Calendar year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,16-17,35852,6.5,4.2,2.3,-0.8,0.4,-1.2,35910,90.7,84.3,4.5,1.9,0.4,0.5,-0.6,0.4,92.3,-0.5,85.4,5.7,4.8,9.4,9.8,12.6,1051.7,2.9,36,56.7,17.8,44.7,63.7,8.8,24.6,4,4,4,4,5
2025,Calendar year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,16-17,29679,3.9,2.8,1.1,0,-0.3,0.3,29650,93.8,91,2.4,0.4,0.7,1.3,-0.4,-0.2,96.6,0.3,81.9,3.2,4.8,10.6,13.3,5.9,1353,4.6,20.7,67.9,19.5,50.2,72.6,8,22.8,2,2,3,2,3
