time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Age,Cohort_DJFavg,NEET_not_known_percent,NEET_percent,Notknown_percent,annual_change_ppts_NEET_not_known,annualchange_NEET,annualchange_notknown,cohort_March,TOTAL_participating_in_education_and_training_percent,Full_time_education_percent,Apprenticeship_percent,Other_education_and_training_percent,annual_change_Participation_in_education_training,annual_change_FTE,annual_change_apprenticeship,annual_change_other_education_training,September_guarantee_Offer_made_percent,September_guarantee_annual_change_ppts,cohort_noSEN_percent,NEET_NK_noSEN_percent,cohort_EHCP_percent,NEET_NK_EHCP_percent,cohort_SENDsupport_percent,NEET_NK_SENDsupport_percent,VG_cohort_DJF_avg,VG_cohort_percentage,VG_NEET_NK_percentage,Level_3,L2_em_GCSE_othL2,avg_att8,pt_l2basics_94,sess_overall_percent,enrolments_pa_10_exact_percent,NEET_NK_quintile,NEET_quintile,Notknown_quintile,Participation_ET_quintile,Sep_guarantee_quintile
2024,Calendar year,National,E92000001,England,,,,,,16-17,1278230,5.4,3.2,2.2,0.2,0.4,-0.2,1281200,92.1,85.7,4.6,1.8,-0.2,0,-0.1,-0.1,94.6,0.1,86.1,4.7,4.9,10.2,9,9.6,33940,2.7,27.7,58.8,27.7,46.4,65.4,9,26.5,z,z,z,z,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,16-17,110850,4.9,2.5,2.4,0,0.1,-0.1,110830,93.7,87.9,3.7,2.2,-0.4,0.2,-0.4,-0.2,94.8,5.1,90.9,4.6,4,9.7,5.1,6.6,1820,1.6,27.3,55.6,27.6,45.2,63.8,9,26,z,z,z,z,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,16-17,6606,4.1,3.9,0.3,-0.2,-0.3,0.1,6631,92,83.9,4.5,3.6,0.6,2.3,-0.9,-0.8,95.9,-1.2,83.1,2.8,5.8,16.4,11.1,7.4,158.7,2.4,44.3,49.7,28.2,42.4,58.5,9,27.4,2,4,1,3,3
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,16-17,16837,2.3,1.9,0.4,-0.2,0,-0.3,16822,94.2,85.8,6,2.5,-1,0.8,-0.8,-1,97.3,1.2,95,2.2,4.5,4.3,0.5,3.7,489,2.9,13.2,55.1,27.9,44.9,64.6,9.4,26.3,1,1,1,2,2
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,16-17,9943,8.5,5.6,2.9,1.7,0.7,1,9939,89.9,86.2,1.5,2.2,-1.6,0.7,-2.1,-0.2,94.4,-1.5,95.9,8.1,4,18.8,0,c,173.3,1.7,46.3,56.5,30,45.1,60,8.1,23.8,5,5,5,5,4
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,16-17,15020,4.7,0.7,4,1,-0.1,1.1,15025,94.9,91.7,2.8,0.4,-1.1,-0.9,-0.1,-0.1,96.3,0.7,85.8,4.8,4.4,5.8,9.8,3.8,30,0.2,28.9,60.1,30.3,45.8,67,8.7,24.1,3,1,5,2,3
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,16-17,17092,8.8,2.4,6.4,1.6,0.4,1.2,17032,91.8,83.3,3.8,4.6,-0.5,-0.3,-0.6,0.5,92.1,0,94.7,9,5.3,6.3,z,z,155.7,0.9,23.6,55.3,27,46.5,64.6,9.3,27.9,5,2,5,3,5
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,16-17,7878,6.1,3.8,2.3,0.9,-1,1.9,7889,92.9,88.8,1.5,2.6,0.4,3.1,-1.2,-1.5,90.3,0.1,88.4,5.1,3.2,22.4,8.4,9.5,189,2.4,31,48.7,19.5,42.5,57.3,9.7,29.3,4,4,4,3,5
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,16-17,18210,3.7,1.9,1.8,-4.1,-0.1,-3.9,18207,95.9,91,3.2,1.7,0.7,0.4,-0.2,0.4,91.7,30.6,93.1,3.2,1.6,14.3,5.3,8.2,109,0.6,27.8,55.2,25.5,46.2,65.6,9.2,25.6,2,1,4,1,5
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,16-17,666,0.9,0.4,0.5,-0.6,-0.5,-0.1,667,97.8,93.9,3.6,0.3,-0.6,-0.4,0.4,-0.5,97.8,0.5,93.6,0.9,6,0,0.5,c,0,0,z,67,28.6,50.2,73.1,7.6,21.4,1,1,1,1,1
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,16-17,8652,3.1,2.6,0.6,0.5,0.4,0.1,8656,94.9,89.2,4.6,1.1,-0.1,-0.9,0.9,-0.1,98.2,-0.4,85.7,2.3,4.5,9.6,9.8,7.1,179.3,2.1,33.8,52.3,25.8,44.2,61.2,9.1,26.3,1,2,2,2,1
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,16-17,9950,2.9,2.5,0.4,0.8,0.8,-0.1,9966,95.1,89.9,4.7,0.5,-0.9,-2.1,1,0.1,98.6,-0.1,87.5,2.4,3.7,8,8.8,6.2,335.3,3.4,25.6,60,32.6,45.2,65.2,8.7,24.9,1,2,1,1,1
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,16-17,143340,5.1,3.7,1.4,0.9,0.6,0.3,143490,91.3,85.4,4.4,1.4,-0.4,-0.5,0,0.1,95,-0.6,84.6,4.3,5,9.5,10.4,9.1,4290,3,29.1,59.9,27.2,46.6,66.3,8.8,25.6,z,z,z,z,z
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,16-17,4208,3.1,1.5,1.7,-0.6,-0.3,-0.3,4213,94.8,89.8,2.3,2.7,-0.5,1.3,-2.3,0.5,96.6,0.9,86.3,2.8,4.9,4.3,8.7,5.9,50,1.2,24,59.2,33.6,43.8,62.7,9.1,28.3,1,1,4,2,3
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,16-17,13471,3.5,3.3,0.2,0.8,0.8,0,13488,92.4,85.2,4.9,2.3,-0.5,-1.2,0.6,0.1,95,-1,84.5,2.6,5.6,8.7,9.9,8.7,416.7,3.1,28.7,58.8,27.6,48.7,68.8,8.7,23.4,2,3,1,3,4
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,16-17,6717,3.7,3.4,0.3,0.5,0.9,-0.4,6731,92.6,88.3,4,0.3,-0.5,0.7,-0.9,-0.3,95.2,0.3,84.8,2.9,5.5,8.8,9.7,8.4,91.7,1.4,34.2,57,25.1,44.4,64.4,7.8,22.1,2,3,1,3,4
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,16-17,34907,7.3,3.9,3.4,2.2,0.5,1.7,34958,90.3,83.8,5.1,1.5,-0.3,-0.9,0.5,0.1,92.8,-1.4,86.9,6.6,4.4,8.2,8.6,13.8,1234.3,3.5,32.1,58.5,26.4,45.3,63.7,8.8,25.4,5,4,5,4,5
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,16-17,28439,4,3.1,0.9,0.7,0.8,-0.1,28433,93.1,89.7,2.8,0.6,-0.1,0,-0.3,0.1,96.2,0.1,82.8,3.2,4.5,10.7,12.8,6.9,846,3,24.7,69.8,28.9,51,74.1,8.2,23.7,2,3,2,3,3
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,16-17,6066,4.2,2.7,1.5,0.5,0,0.4,6060,94.6,91.3,2.2,1.2,-0.3,-1,0.6,0.2,97.3,-0.3,87.5,3.9,3.7,4.9,8.9,6.6,77.7,1.3,20.2,56.6,30.8,44.5,62.1,8.8,28.9,2,3,3,2,2
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,16-17,18690,5.2,4.5,0.7,0,0.7,-0.7,18717,87,79.8,6.5,0.7,-0.5,-0.9,0.5,-0.1,94.1,-1,82.9,4.3,6.6,11.8,10.5,8.1,481,2.6,26.5,53.4,25.9,44.7,64,9.9,28.9,3,4,2,5,4
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,16-17,5522,4.8,4.3,0.5,-0.1,-0.1,0,5537,91,85.8,2.5,2.7,-0.4,-1.3,-0.4,1.3,95.4,-0.4,83.2,3.9,3.8,3,13,10.8,109,2,22.9,50.7,26.4,42.9,59.4,9,28,3,4,1,4,4
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,16-17,4338,4.3,2.4,1.9,1,0.4,0.6,4363,94.2,91.7,1.8,0.7,-0.8,-1.1,0.2,0.1,95.8,-3,79.2,3.2,4.4,13.4,16.4,7,195.3,4.5,23.9,70.5,18.2,53.7,73.4,7.7,22.5,3,2,4,2,3
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,16-17,16137,5.5,4.8,0.6,0.3,0.6,-0.2,16136,89.7,81.6,5.8,2.3,-0.2,0,-0.3,0.1,95.6,0.5,81.8,4.5,5.6,11.8,12.6,8.8,747.3,4.6,34.4,56.6,28.3,43.5,62.2,9.7,28,4,5,2,5,3
2024,Calendar year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,16-17,4851,3.6,3.6,0,0.8,0.8,0,4856,94,86.5,4.2,3.3,-0.9,0.2,-0.5,-0.6,100,-0.3,94.6,3.5,5.1,5.1,0.3,18.6,45.7,0.9,21.2,55.5,21.6,43.9,62.7,7.8,23,2,4,1,2,1
2024,Calendar year,Regional,E92000001,England,E12000007,London,,,,16-17,193620,3.4,1.8,1.5,0,0.3,-0.2,194240,96,93.4,1.6,1,0,0.1,-0.1,0,97.2,0.5,86.1,2.9,4.6,6.3,9.3,6,2930,1.5,22.2,69.9,29.9,50.6,71.2,7.8,23.5,z,z,z,z,z
2024,Calendar year,Local authority,E92000001,England,E12000007,London,301,E09000002,Barking and Dagenham,16-17,7188,3.6,3.5,0,0.7,0.7,-0.1,7210,95.1,92.8,1.9,0.4,-0.9,-0.9,0,0,97.6,-1.2,95.3,3.2,3.3,13.6,1.4,5.4,56.3,0.8,39.1,64.7,26.2,48,66,7.3,22.3,2,4,1,1,2
2024,Calendar year,Local authority,E92000001,England,E12000007,London,302,E09000003,Barnet,16-17,8474,0.9,0.7,0.3,0,-0.1,0.1,8506,98.5,96.6,1.1,0.7,-0.1,0.5,-0.2,-0.4,99.4,-0.1,85.2,0.7,3.9,2.3,10.9,2.3,48,0.6,12.5,78.3,34.3,57.1,80.1,7.3,21.5,1,1,1,1,1
2024,Calendar year,Local authority,E92000001,England,E12000007,London,303,E09000004,Bexley,16-17,6378,2.8,2.3,0.5,0.5,0.3,0.1,6379,95.1,89.1,5,1,0,1.2,-0.5,-0.7,98.3,0.2,84.3,2.3,5.2,6.9,10.5,4.9,61.3,1,13.6,62.9,27.1,49.7,69.4,8.2,24,1,2,1,2,1
2024,Calendar year,Local authority,E92000001,England,E12000007,London,304,E09000005,Brent,16-17,8268,2.8,1.8,1,0.4,0.4,0.1,8295,96.7,94.9,0.9,1,0,0.6,-0.2,-0.5,97.7,0.2,86.7,2.4,3.9,3.8,9.4,5.5,80,1,19.6,71.9,31.2,50.5,68,7.3,22.6,1,1,3,1,1
2024,Calendar year,Local authority,E92000001,England,E12000007,London,305,E09000006,Bromley,16-17,7412,1.7,1.3,0.4,0.1,0.1,0,7404,97.2,92.2,2.5,2.5,-0.4,0.9,-0.9,-0.3,97.5,-1,82.8,1.2,4.1,4.8,13.1,3.5,74,1,18.9,68.5,26.7,51.2,73.2,8.1,22.8,1,1,1,1,2
