time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Age,Cohort_DJFavg,NEET_not_known_percent,NEET_percent,Notknown_percent,annual_change_ppts_NEET_not_known,annualchange_NEET,annualchange_notknown,cohort_March,TOTAL_participating_in_education_and_training_percent,Full_time_education_percent,Apprenticeship_percent,Other_education_and_training_percent,annual_change_Participation_in_education_training,annual_change_FTE,annual_change_apprenticeship,annual_change_other_education_training,September_guarantee_Offer_made_percent,September_guarantee_annual_change_ppts,cohort_noSEN_percent,NEET_NK_noSEN_percent,cohort_EHCP_percent,NEET_NK_EHCP_percent,cohort_SENDsupport_percent,NEET_NK_SENDsupport_percent,VG_cohort_DJF_avg,VG_cohort_percentage,VG_NEET_NK_percentage,Level_3,L2_em_GCSE_othL2,attainment8_average,engmath_94_percent,sess_overall_percent,enrolments_pa_10_exact_percent,NEET_NK_quintile,NEET_quintile,Notknown_quintile,Participation_ET_quintile,Sep_guarantee_quintile
2026,Calendar year,National,E92000001,England,,,,,,16-17,1359500,5.8,3.4,2.4,0.2,0,0.2,1363590,92,86.5,3.6,2,0,0.5,-0.6,0.1,94.1,-0.5,83.3,5,6.1,9.9,10.6,10,39520,2.9,26.4,57.4,20.2,46,64.8,8.4,23.4,z,z,z,z,z
2026,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,16-17,118070,6.2,2.8,3.3,0.6,0,0.5,118230,92.7,87.9,3,1.9,-0.6,-0.4,-0.2,0.1,88.1,-3.1,88,5.8,4.7,9.2,7.3,8.5,2260,1.9,29.1,54,19.5,45.1,64,8.4,22.7,z,z,z,z,z
2026,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,16-17,7279,8.1,7.1,1,0.2,-0.5,0.7,7297,89.7,80.9,3.7,5.1,2.2,2.3,-1.2,1.1,90.1,-4.9,83.2,7.3,7,6.5,9.8,15.6,180.3,2.5,41.8,49.7,20.5,42.2,58.8,8.4,23.8,5,5,3,5,5
2026,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,16-17,18126,8.3,2.7,5.6,0.9,-0.5,1.4,18259,92.2,86.7,4.7,0.8,0.1,1.1,-0.6,-0.4,84.7,10.8,94.1,8.1,5.5,12.1,0.4,6.6,544.3,3,32.6,51.4,17.9,45,65.1,8.5,21.7,5,2,5,3,5
2026,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,16-17,10356,6.9,5.9,1,0,0.2,-0.2,10353,90.9,87,1.4,2.5,-0.3,0,0.3,-0.5,94.9,0.1,85.2,5.9,5,13.9,9.8,11.7,206.7,2,37.1,58.7,27.5,45.5,62.8,8,22.6,5,5,3,4,4
2026,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,16-17,15866,6.9,1.2,5.7,0.9,0,0.9,15838,93.6,91.1,1.6,0.9,-0.7,-0.7,-0.1,0.1,61.3,-27.1,82.3,6.1,5.2,11.6,12.5,10.4,33.3,0.2,39,57.8,20.6,46.2,66.6,8.4,21.8,5,1,5,2,5
2026,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,16-17,18187,8.4,2.3,6.1,1.3,0.2,1.1,18183,88.6,80.1,4.7,3.7,-3.9,-5,-0.3,1.4,89.6,-3.5,87.3,9,7,6.1,5.7,3.4,119.7,0.7,22.6,54.1,20.1,45.1,62.9,8.4,24.1,5,2,5,5,5
2026,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,16-17,8616,5.5,3.4,2,-0.1,0,-0.1,8631,93.1,90.2,1,2,0.1,0.8,-0.3,-0.4,93.9,0.1,93.1,4.8,2.4,12.5,4.5,15.7,172,2,37.8,49.2,14.7,43,59.4,8.9,25.4,4,3,4,3,4
2026,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,16-17,18897,4.4,1.8,2.6,0.4,0.3,0.1,18896,95.5,91.7,1.8,2,0,-0.4,0.4,0,94.1,-1.6,93.2,4.1,1.5,10.2,5.3,7.2,36.7,0.2,20,53.3,17,46.8,67.7,8.3,22.5,3,1,4,2,4
2026,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,16-17,716,1.2,0.8,0.3,-0.1,0.2,-0.3,718,98.5,93,3.8,1.7,1.2,0,-0.1,1.2,98.7,0.6,93.6,1.1,6.4,1.5,z,z,c,c,c,66.2,18.3,50.4,76.7,7,18.2,1,1,1,1,1
